indice_medicamento,nregistro,nombre_medicamento,tipo_imagen,url,fichero,estado,error
1,42991,A.A.S. 100 mg COMPRIMIDOS,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/42991/42991_materialas.jpg,imagenes/a_a_s_100_mg_comprimidos__42991__materialas__0001.jpg,descargada,
1,42991,A.A.S. 100 mg COMPRIMIDOS,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/42991/42991_formafarmac.jpg,imagenes/a_a_s_100_mg_comprimidos__42991__formafarmac__0002.jpg,descargada,
2,42956,A.A.S. 500 mg COMPRIMIDOS,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/42956/42956_materialas.jpg,imagenes/a_a_s_500_mg_comprimidos__42956__materialas__0003.jpg,descargada,
2,42956,A.A.S. 500 mg COMPRIMIDOS,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/42956/42956_formafarmac.jpg,imagenes/a_a_s_500_mg_comprimidos__42956__formafarmac__0004.jpg,descargada,
3,81012,ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/81012/81012_materialas.jpg,imagenes/abacavir_lamivudina_dr_reddys_600_mg_300_mg_comprimidos_recu__81012__materialas__0005.jpg,descargada,
3,81012,ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/81012/81012_formafarmac.jpg,imagenes/abacavir_lamivudina_dr_reddys_600_mg_300_mg_comprimidos_recu__81012__formafarmac__0006.jpg,descargada,
4,82591,ABACAVIR/LAMIVUDINA GLENMARK 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/82591/82591_materialas.jpg,imagenes/abacavir_lamivudina_glenmark_600_mg_300_mg_comprimidos_recub__82591__materialas__0007.jpg,descargada,
4,82591,ABACAVIR/LAMIVUDINA GLENMARK 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/82591/82591_formafarmac.jpg,imagenes/abacavir_lamivudina_glenmark_600_mg_300_mg_comprimidos_recub__82591__formafarmac__0008.jpg,descargada,
5,84182,ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/84182/84182_materialas.jpg,imagenes/abacavir_lamivudina_kern_pharma_600_mg_300_mg_comprimidos_re__84182__materialas__0009.jpg,descargada,
5,84182,ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/84182/84182_formafarmac.jpg,imagenes/abacavir_lamivudina_kern_pharma_600_mg_300_mg_comprimidos_re__84182__formafarmac__0010.jpg,descargada,
