sample_id,image_path,image_filename,image_type_raw,image_type,nregistro,nombre,nombre_normalizado,principio_activo_texto,principio_activo_normalizado,num_principios_activos,codigo_atc_original,nombre_atc_original,nivel_atc_original,atc1_codigo,atc2_codigo,atc3_codigo,atc3_nombre,atc4_codigo,atc4_nombre,atc5_codigo,atc5_nombre,macroclase_15_codigo,macroclase_15_nombre,dosis,forma_farmaceutica,forma_farmaceutica_simplificada,via_administracion,labtitular,labcomercializador,cpresc,receta,generico,comerc,clase,split
42991_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/a_a_s_100_mg_comprimidos__42991__materialas__0001.jpg,a_a_s_100_mg_comprimidos__42991__materialas__0001.jpg,materialas,caja,42991,A.A.S. 100 mg COMPRIMIDOS,a a s 100 mg comprimidos,ACETILSALICILICO ACIDO,acetilsalicilico acido,1,B01AC06,Acido acetilsalicilico,5,B,B01,B01A,AGENTES ANTITROMBOTICOS,B01AC,"Inhibidores de la agregacion plaquetaria, heparina excl.",B01AC06,Acido acetilsalicilico,hematologia_sangre,Hematología y sangre,100 mg,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Laboratorio Stada S.L.,Laboratorio Stada S.L.,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,True,False,True,otros,test
42991_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/a_a_s_100_mg_comprimidos__42991__formafarmac__0002.jpg,a_a_s_100_mg_comprimidos__42991__formafarmac__0002.jpg,formafarmac,pastilla,42991,A.A.S. 100 mg COMPRIMIDOS,a a s 100 mg comprimidos,ACETILSALICILICO ACIDO,acetilsalicilico acido,1,B01AC06,Acido acetilsalicilico,5,B,B01,B01A,AGENTES ANTITROMBOTICOS,B01AC,"Inhibidores de la agregacion plaquetaria, heparina excl.",B01AC06,Acido acetilsalicilico,hematologia_sangre,Hematología y sangre,100 mg,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Laboratorio Stada S.L.,Laboratorio Stada S.L.,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,True,False,True,otros,test
42956_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/a_a_s_500_mg_comprimidos__42956__materialas__0003.jpg,a_a_s_500_mg_comprimidos__42956__materialas__0003.jpg,materialas,caja,42956,A.A.S. 500 mg COMPRIMIDOS,a a s 500 mg comprimidos,ACETILSALICILICO ACIDO,acetilsalicilico acido,1,N02BA01,Acido acetilsalicilico,5,N,N02,N02B,OTROS ANALGESICOS Y ANTIPIRETICOS,N02BA,Acido salicilico y derivados,N02BA01,Acido acetilsalicilico,dolor_anestesia,Dolor y anestesia,500 mg,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Laboratorio Stada S.L.,Laboratorio Stada S.L.,Sin Receta,False,False,True,otros,train
42956_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/a_a_s_500_mg_comprimidos__42956__formafarmac__0004.jpg,a_a_s_500_mg_comprimidos__42956__formafarmac__0004.jpg,formafarmac,pastilla,42956,A.A.S. 500 mg COMPRIMIDOS,a a s 500 mg comprimidos,ACETILSALICILICO ACIDO,acetilsalicilico acido,1,N02BA01,Acido acetilsalicilico,5,N,N02,N02B,OTROS ANALGESICOS Y ANTIPIRETICOS,N02BA,Acido salicilico y derivados,N02BA01,Acido acetilsalicilico,dolor_anestesia,Dolor y anestesia,500 mg,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Laboratorio Stada S.L.,Laboratorio Stada S.L.,Sin Receta,False,False,True,otros,train
81012_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abacavir_lamivudina_dr_reddys_600_mg_300_mg_comprimidos_recu__81012__materialas__0005.jpg,abacavir_lamivudina_dr_reddys_600_mg_300_mg_comprimidos_recu__81012__materialas__0005.jpg,materialas,caja,81012,ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir lamivudina dr reddys 600 mg 300 mg comprimidos recubiertos con pelicula efg,ABACAVIR + LAMIVUDINA,abacavir + lamivudina,2,J05AR02,Lamivudina y abacavir,5,J,J05,J05A,ANTIVIRALES DE ACCION DIRECTA,J05AR,Combinacion de antivirales para el tratamiento de infecciones por VIH,J05AR02,Lamivudina y abacavir,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,600 mg/300 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Reddy Pharma Iberia S.A.,Reddy Pharma Iberia S.A.,Diagnóstico Hospitalario,True,True,True,Antiinfecciosos sistémicos,train
81012_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abacavir_lamivudina_dr_reddys_600_mg_300_mg_comprimidos_recu__81012__formafarmac__0006.jpg,abacavir_lamivudina_dr_reddys_600_mg_300_mg_comprimidos_recu__81012__formafarmac__0006.jpg,formafarmac,pastilla,81012,ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir lamivudina dr reddys 600 mg 300 mg comprimidos recubiertos con pelicula efg,ABACAVIR + LAMIVUDINA,abacavir + lamivudina,2,J05AR02,Lamivudina y abacavir,5,J,J05,J05A,ANTIVIRALES DE ACCION DIRECTA,J05AR,Combinacion de antivirales para el tratamiento de infecciones por VIH,J05AR02,Lamivudina y abacavir,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,600 mg/300 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Reddy Pharma Iberia S.A.,Reddy Pharma Iberia S.A.,Diagnóstico Hospitalario,True,True,True,Antiinfecciosos sistémicos,train
82591_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abacavir_lamivudina_glenmark_600_mg_300_mg_comprimidos_recub__82591__materialas__0007.jpg,abacavir_lamivudina_glenmark_600_mg_300_mg_comprimidos_recub__82591__materialas__0007.jpg,materialas,caja,82591,ABACAVIR/LAMIVUDINA GLENMARK 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir lamivudina glenmark 600 mg 300 mg comprimidos recubiertos con pelicula efg,ABACAVIR CLORHIDRATO + LAMIVUDINA,abacavir clorhidrato + lamivudina,2,J05AR02,Lamivudina y abacavir,5,J,J05,J05A,ANTIVIRALES DE ACCION DIRECTA,J05AR,Combinacion de antivirales para el tratamiento de infecciones por VIH,J05AR02,Lamivudina y abacavir,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,600 mg/300 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Glenmark Arzneimittel Gmbh,Glenmark Farmaceutica S.L.U,Diagnóstico Hospitalario,True,True,True,Antiinfecciosos sistémicos,train
82591_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abacavir_lamivudina_glenmark_600_mg_300_mg_comprimidos_recub__82591__formafarmac__0008.jpg,abacavir_lamivudina_glenmark_600_mg_300_mg_comprimidos_recub__82591__formafarmac__0008.jpg,formafarmac,pastilla,82591,ABACAVIR/LAMIVUDINA GLENMARK 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir lamivudina glenmark 600 mg 300 mg comprimidos recubiertos con pelicula efg,ABACAVIR CLORHIDRATO + LAMIVUDINA,abacavir clorhidrato + lamivudina,2,J05AR02,Lamivudina y abacavir,5,J,J05,J05A,ANTIVIRALES DE ACCION DIRECTA,J05AR,Combinacion de antivirales para el tratamiento de infecciones por VIH,J05AR02,Lamivudina y abacavir,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,600 mg/300 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Glenmark Arzneimittel Gmbh,Glenmark Farmaceutica S.L.U,Diagnóstico Hospitalario,True,True,True,Antiinfecciosos sistémicos,train
84182_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abacavir_lamivudina_kern_pharma_600_mg_300_mg_comprimidos_re__84182__materialas__0009.jpg,abacavir_lamivudina_kern_pharma_600_mg_300_mg_comprimidos_re__84182__materialas__0009.jpg,materialas,caja,84182,ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir lamivudina kern pharma 600 mg 300 mg comprimidos recubiertos con pelicula efg,ABACAVIR + LAMIVUDINA,abacavir + lamivudina,2,J05AR02,Lamivudina y abacavir,5,J,J05,J05A,ANTIVIRALES DE ACCION DIRECTA,J05AR,Combinacion de antivirales para el tratamiento de infecciones por VIH,J05AR02,Lamivudina y abacavir,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,600 mg/ 300 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Kern Pharma S.L.,Kern Pharma S.L.,Diagnóstico Hospitalario,True,True,True,Antiinfecciosos sistémicos,train
84182_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abacavir_lamivudina_kern_pharma_600_mg_300_mg_comprimidos_re__84182__formafarmac__0010.jpg,abacavir_lamivudina_kern_pharma_600_mg_300_mg_comprimidos_re__84182__formafarmac__0010.jpg,formafarmac,pastilla,84182,ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abacavir lamivudina kern pharma 600 mg 300 mg comprimidos recubiertos con pelicula efg,ABACAVIR + LAMIVUDINA,abacavir + lamivudina,2,J05AR02,Lamivudina y abacavir,5,J,J05,J05A,ANTIVIRALES DE ACCION DIRECTA,J05AR,Combinacion de antivirales para el tratamiento de infecciones por VIH,J05AR02,Lamivudina y abacavir,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,600 mg/ 300 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Kern Pharma S.L.,Kern Pharma S.L.,Diagnóstico Hospitalario,True,True,True,Antiinfecciosos sistémicos,train
