nombre_medicamento,codigo_atc_original,nivel_atc_original,atc1_codigo,atc1_nombre,atc2_codigo,atc3_codigo
A.A.S. 100 mg COMPRIMIDOS,B01AC06,5,B,Sangre y órganos hematopoyéticos,B01,B01A
A.A.S. 500 mg COMPRIMIDOS,N02BA01,5,N,Sistema nervioso,N02,N02B
ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,J05AR02,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ABACAVIR/LAMIVUDINA GLENMARK 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,J05AR02,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,J05AR02,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ABIRATERONA GLENMARK 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,L02BX03,5,L,Antineoplásicos e inmunomoduladores,L02,L02B
ABIRATERONA NORMON 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,L02BX03,5,L,Antineoplásicos e inmunomoduladores,L02,L02B
ABIRATERONA SANDOZ 500 MG COMPRIMDOS RECUBIERTOS CON PELICULA EFG,L02BX03,5,L,Antineoplásicos e inmunomoduladores,L02,L02B
ABIRATERONA STADA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,L02BX03,5,L,Antineoplásicos e inmunomoduladores,L02,L02B
ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,L01CD01,5,L,Antineoplásicos e inmunomoduladores,L01,L01C
ABRILIA 20 MG COMPRIMIDOS EFG,R06AX29,5,R,Sistema respiratorio,R06,R06A
ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,J07BX05,5,J,Antiinfecciosos para uso sistémico,J07,J07B
ABSORCOL 10 mg COMPRIMIDOS,C10AX09,5,C,Sistema cardiovascular,C10,C10A
ACALKA 1080 mg COMPRIMIDOS DE LIBERACION PROLONGADA,G04BC91,5,G,Sistema genitourinario y hormonas sexuales,G04,G04B
ACARBOSA TECNIGEN 100 mg COMPRIMIDOS,A10BF01,5,A,Tracto alimentario y metabolismo,A10,A10B
ACARBOSA TECNIGEN 50 mg COMPRIMIDOS,A10BF01,5,A,Tracto alimentario y metabolismo,A10,A10B
ACECLOFENACO CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M01AB16,5,M,Sistema musculoesquelético,M01,M01A
ACECLOFENACO STADA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M01AB16,5,M,Sistema musculoesquelético,M01,M01A
"ACEOTO PLUS 3 mg/ml + 0,25 mg/ml GOTAS ÓTICAS EN SOLUCIÓN",S02CA05,5,S,Órganos de los sentidos,S02,S02C
ACEOTO 3 MG/ML GOTAS ÓTICAS EN SOLUCIÓN,S02AA15,5,S,Órganos de los sentidos,S02,S02A
ACETILCISTEÍNA BEXAL 200 mg POLVO PARA SOLUCIÓN ORAL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEÍNA BEXAL 600 mg COMPRIMIDOS EFERVESCENTES EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA CINFA 100 mg POLVO PARA SOLUCION ORAL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA CINFA 200 mg POLVO PARA SOLUCION ORAL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA CINFA 600 mg COMPRIMIDOS EFERVESCENTES EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA CINFA 600 mg POLVO PARA SOLUCION ORAL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA NORMON 600 MG COMPRIMIDOS DISPERSABLES EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA SANDOZ CARE 600 mg COMPRIMIDOS EFERVESCENTES,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA STADA 600 mg COMPRIMIDOS EFERVESCENTES EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA TARBIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA TARBIS 600 mg POLVO EFERVESCENTE EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA VIATRIS 200 mg GRANULADO PARA SOLUCION ORAL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCISTEINA VIATRIS 600 MG GRANULADO EFERVESCENTEL EFG,R05CB01,5,R,Sistema respiratorio,R05,R05C
ACETILCOLINA 10 MG/ML CUSÍ POLVO Y DISOLVENTE PARA SOLUCIÓN PARA INSTILACIÓN POR VÍA INTRAOCULAR,S01EB09,5,S,Órganos de los sentidos,S01,S01E
ACICLOVIR CINFA 200 MG COMPRIMIDOS EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACICLOVIR CINFA 800 mg COMPRIMIDOS DISPERSABLES EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACICLOVIR CINFA 800 MG COMPRIMIDOS EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACICLOVIR NORMON 200 mg COMPRIMIDOS EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACICLOVIR NORMON 50 mg/g CREMA EFG,D06BB03,5,D,Dermatológicos,D06,D06B
ACICLOVIR NORMON 800 mg COMPRIMIDOS EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACICLOVIR SANDOZ CARE 50 MG/G CREMA,D06BB03,5,D,Dermatológicos,D06,D06B
ACICLOVIR STADA 200 MG COMPRIMIDOS EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACICLOVIR STADA 50 MG/G CREMA,D06BB03,5,D,Dermatológicos,D06,D06B
ACICLOVIR STADA 800 MG COMPRIMIDOS EFG,J05AB01,5,J,Antiinfecciosos para uso sistémico,J05,J05A
ACIDO ACETILSALICILICO CINFAMED 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,B01AC06,5,B,Sangre y órganos hematopoyéticos,B01,B01A
ACIDO ACETILSALICILICO STADA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,B01AC06,5,B,Sangre y órganos hematopoyéticos,B01,B01A
ACIDO ACETILSALICILICO TARBIS 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,B01AC06,5,B,Sangre y órganos hematopoyéticos,B01,B01A
ACIDO ACETILSALICILICO TECNIGEN 100 MG COMPRIMIDOS GASTRORRESISTENTES,B01AC06,5,B,Sangre y órganos hematopoyéticos,B01,B01A
ACIDO ALENDRONICO SEMANAL CINFAMED 70 mg COMPRIMIDOS EFG,M05BA04,5,M,Sistema musculoesquelético,M05,M05B
ACIDO ALENDRONICO SEMANAL NORMON 70 mg COMPRIMIDOS EFG,M05BA04,5,M,Sistema musculoesquelético,M05,M05B
ACIDO ALENDRONICO SEMANAL STADA 70 mg COMPRIMIDOS EFG,M05BA04,5,M,Sistema musculoesquelético,M05,M05B
ACIDO ALENDRONICO SEMANAL TECNIGEN 70 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA04,5,M,Sistema musculoesquelético,M05,M05B
ACIDO IBANDRONICO CINFA 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA06,5,M,Sistema musculoesquelético,M05,M05B
ACIDO IBANDRONICO NORMON 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA06,5,M,Sistema musculoesquelético,M05,M05B
ACIDO IBANDRONICO SANDOZ 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA06,5,M,Sistema musculoesquelético,M05,M05B
ACIDO IBANDRONICO STADA 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA06,5,M,Sistema musculoesquelético,M05,M05B
ACIDO IBANDRONICO TECNIGEN 150 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA06,5,M,Sistema musculoesquelético,M05,M05B
ACIDO IBANDRONICO VIATRIS 150 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,M05BA06,5,M,Sistema musculoesquelético,M05,M05B
ACIDO MICOFENOLICO STADA 180 MG COMPRIMIDOS GASTRORRESISTENTES EFG,L04AA06,5,L,Antineoplásicos e inmunomoduladores,L04,L04A
ACIDO MICOFENOLICO STADA 360 MG COMPRIMIDOS GASTRORRESISTENTES EFG,L04AA06,5,L,Antineoplásicos e inmunomoduladores,L04,L04A
ACOMICIL 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N03AX11,5,N,Sistema nervioso,N03,N03A
ACOMICIL 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N03AX11,5,N,Sistema nervioso,N03,N03A
ACOMICIL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N03AX11,5,N,Sistema nervioso,N03,N03A
ACOMICIL 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N03AX11,5,N,Sistema nervioso,N03,N03A
ACORE 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,G04BE08,5,G,Sistema genitourinario y hormonas sexuales,G04,G04B
ACORE 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,G04BE08,5,G,Sistema genitourinario y hormonas sexuales,G04,G04B
ACORE 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,G04BE08,5,G,Sistema genitourinario y hormonas sexuales,G04,G04B
ACOXXEL 120 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,M01AH05,5,M,Sistema musculoesquelético,M01,M01A
ACOXXEL 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,M01AH05,5,M,Sistema musculoesquelético,M01,M01A
ACOXXEL 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,M01AH05,5,M,Sistema musculoesquelético,M01,M01A
ACOXXEL 90 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,M01AH05,5,M,Sistema musculoesquelético,M01,M01A
ACTIKERALL 5 MG/G + 100 MG/G SOLUCION CUTANEA,L01BC52,5,L,Antineoplásicos e inmunomoduladores,L01,L01B
ACTILYSE POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION,B01AD02,5,B,Sangre y órganos hematopoyéticos,B01,B01A
ACTOCORTINA 373 mg POLVO PARA SOLUCIÓN INYECTABLE,H02AB09,5,H,"Preparados hormonales sistémicos, excl. hormonas sexuales e insulinas",H02,H02A
ACTRAPID 100 UI/ML SOLUCION INYECTABLE EN UN VIAL,A10AB01,5,A,Tracto alimentario y metabolismo,A10,A10A
ACTROMADOL 660 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA,M01AE02,5,M,Sistema musculoesquelético,M01,M01A
ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,N02BA51,5,N,Sistema nervioso,N02,N02B
ACULAR 5 mg/ml COLIRIO EN SOLUCION,S01BC05,5,S,Órganos de los sentidos,S01,S01B
"ACUOLENS 3 mg/ml + 5,5 mg/ml COLIRIO EN SOLUCION EN ENVASE UNIDOSIS",S01XA20,5,S,Órganos de los sentidos,S01,S01X
"ADALAT OROS 30 mg, COMPRIMIDOS DE LIBERACION PROLONGADA",C08CA05,5,C,Sistema cardiovascular,C08,C08C
"ADARTREL 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",N04BC04,5,N,Sistema nervioso,N04,N04B
ADARTREL 0.5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,N04BC04,5,N,Sistema nervioso,N04,N04B
ADARTREL 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,N04BC04,5,N,Sistema nervioso,N04,N04B
"ADASUVE 9,1 MG POLVO PARA INHALACION (UNIDOSIS)",N05AH01,5,N,Sistema nervioso,N05,N05A
ADCETRIS 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,L01FX05,5,L,Antineoplásicos e inmunomoduladores,L01,L01F
ADEMPAS 1 mg comprimidos recubiertos con pelicula,C02KX05,5,C,Sistema cardiovascular,C02,C02K
"ADEMPAS 1,5 mg comprimidos recubiertos con pelicula",C02KX05,5,C,Sistema cardiovascular,C02,C02K
ADEMPAS 2 mg comprimidos recubiertos con pelicula,C02KX05,5,C,Sistema cardiovascular,C02,C02K
"ADEMPAS 2,5 mg comprimidos recubiertos con pelicula",C02KX05,5,C,Sistema cardiovascular,C02,C02K
ADENURIC 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,M04AA03,5,M,Sistema musculoesquelético,M04,M04A
ADENURIC 80 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,M04AA03,5,M,Sistema musculoesquelético,M04,M04A
"ADIERIS 2 MG/0,03 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",G03AA16,5,G,Sistema genitourinario y hormonas sexuales,G03,G03A
ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,B01AC06,5,B,Sangre y órganos hematopoyéticos,B01,B01A
ADISOCOL 150 MG COMPRIMIDOS EFG,A05AA02,5,A,Tracto alimentario y metabolismo,A05,A05A
ADISOCOL 300 MG COMPRIMIDOS EFG,A05AA02,5,A,Tracto alimentario y metabolismo,A05,A05A
ADISOCOL 450 MG COMPRIMIDOS EFG,A05AA02,5,A,Tracto alimentario y metabolismo,A05,A05A
ADOLONTA RETARD 100 mg COMPRIMIDOS DE LIBERACION PROLONGADA,N02AX02,5,N,Sistema nervioso,N02,N02A
ADOLONTA RETARD 150 mg COMPRIMIDOS DE LIBERACION PROLONGADA,N02AX02,5,N,Sistema nervioso,N02,N02A
