atc1_codigo,atc1_nombre,num_medicamentos
N,Sistema nervioso,2298
C,Sistema cardiovascular,1809
L,Antineoplásicos e inmunomoduladores,1014
J,Antiinfecciosos para uso sistémico,879
A,Tracto alimentario y metabolismo,783
R,Sistema respiratorio,678
B,Sangre y órganos hematopoyéticos,619
M,Sistema musculoesquelético,545
G,Sistema genitourinario y hormonas sexuales,500
D,Dermatológicos,309
S,Órganos de los sentidos,193
H,"Preparados hormonales sistémicos, excl. hormonas sexuales e insulinas",177
V,Varios,172
P,"Antiparasitarios, insecticidas y repelentes",24
