atc2_codigo,num_medicamentos,ejemplo_1,ejemplo_2,ejemplo_3,ejemplo_4,ejemplo_5
C09,738,AMLODIPINO/VALSARTAN CINFAMED 10 mg/160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN CINFAMED 5 mg/160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN NORMON 10 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN NORMON 5 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN SANDOZ 10 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
N06,603,AGOMELATINA STADA 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ARICEPT FLAS 10 MG COMPRIMIDOS BUCODISPERSBLES,ARICEPT FLAS 5 MG COMPRIMIDOS BUCODISPERSABLES,ARICEPT 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ARICEPT 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
N02,555,A.A.S. 500 mg COMPRIMIDOS,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,ADOLONTA RETARD 100 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ADOLONTA RETARD 150 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ADOLONTA RETARD 200 mg COMPRIMIDOS DE LIBERACION PROLONGADA
N05,537,"ADASUVE 9,1 MG POLVO PARA INHALACION (UNIDOSIS)","ALPRAZOLAM CINFA 0,25 mg COMPRIMIDOS EFG","ALPRAZOLAM CINFA, 0,5 mg COMPRIMIDOS EFG","ALPRAZOLAM CINFA, 2 mg COMPRIMIDOS EFG","ALPRAZOLAM CINFA,1 mg COMPRIMIDOS EFG"
L01,477,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,ACTIKERALL 5 MG/G + 100 MG/G SOLUCION CUTANEA,ADCETRIS 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,AFINITOR 10 MG COMPRIMIDOS,AFINITOR 5 MG COMPRIMIDOS
J01,474,AMIKACINA NORMON 500 MG/2 ML SOLUCION INYECTABLE Y PARA PERFUSIÓN EFG,"AMOXICILINA / ACIDO CLAVULANICO SANDOZ 250 mg/62,5 mg/5 ml POLVO PARA SUSPENSION ORAL EFG",AMOXICILINA CINFA 1000 MG COMPRIMIDOS EFG,AMOXICILINA CINFA 1000 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRES EFG,AMOXICILINA CINFA 500 MG CÁPSULAS DURAS EFG
C10,470,ABSORCOL 10 mg COMPRIMIDOS,ALZIL PLUS 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ALZIL PLUS 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ALZIL 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ALZIL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
L04,371,ACIDO MICOFENOLICO STADA 180 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ACIDO MICOFENOLICO STADA 360 MG COMPRIMIDOS GASTRORRESISTENTES EFG,"ADOPORT 0,5 mg CAPSULAS DURAS EFG",ADOPORT 1 mg CAPSULAS DURAS EFG,ADOPORT 2 MG CAPSULAS DURAS
N03,337,ACOMICIL 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOMICIL 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOMICIL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOMICIL 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CARBAMAZEPINA NORMON 200 mg COMPRIMIDOS EFG
M01,333,ACECLOFENACO CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACECLOFENACO STADA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOXXEL 120 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ACOXXEL 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ACOXXEL 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
